
2456c134-2193-4c1c-8be1-eaf4d29c7f77;Inception;Sci-Fi;148;PG-13;2025-06-01 16:00;;10
310424e1-77da-47c5-b558-b02ea8491b37;Parasite;Thriller;132;R;2025-06-01 19:00;;10
381ecce1-8016-4810-be83-781533e4516b;The Godfather;Crime;175;R;2025-06-01 10:30;A4,A5,B6,C6;13
3c9cc47b-846b-4519-b221-1f30d2fde005;The Godfather;Crime;175;R;2025-06-01 15:00;;13
469c4ea8-4d5c-4418-8db2-4a5aefb81a9f;Parasite;Thriller;132;R;2025-06-01 15:30;D9,D10;10
4bee7387-7e9d-4b10-8bb5-41e1b130cdfb;The Dark Knight;Action;152;PG-13;2025-06-01 14:30;E5,E6;12
658d94e9-3297-4d77-9b55-81d5f1403b4d;anh do mixi;anh do mixi;123;G;123;;123
52653a7b-7f75-4843-b95d-cb7b1fc26d41;Interstellar;Sci-Fi;169;PG;2025-06-01 18:00;;11
658d94e9-3297-4d77-9b55-81d5f1403b4d;anh do mixi;anh do mixi;123;G;123;;123
99a4ba2f-c99e-4770-b5d8-35653f2c6552;Interstellar;Sci-Fi;169;PG;2025-06-01 13:30;G1,G2,H5;11
9f980c86-6bfc-4f51-b58c-3ca677e60e4c;The Dark Knight;Action;152;PG-13;2025-06-01 11:00;A1,A2,A3,B1;12
b0b11c54-65e2-4ae0-be05-8003436f94a3;The Dark Knight;Action;152;PG-13;2025-06-01 18:00;;12
b6e1580b-a96f-4837-90ce-4583b7078eb3;anh do mixi;anh do mixi;123;G;123;;123
b7d3844f-dc91-4663-913e-8ae458965368;Inception;Sci-Fi;148;PG-13;2025-06-01 10:00;A1,A2,B5;10
b8058330-4457-4143-9c0a-9604dfe4dd3d;Parasite;Thriller;132;R;2025-06-01 12:00;B3,B4;10
d3233e95-229e-46e1-940a-924ca8ba9d28;Inception;Sci-Fi;148;PG-13;2025-06-01 13:00;C3,D7,D8;10
da58841a-25af-4174-a880-f4a899a2a2fd;Interstellar;Sci-Fi;169;PG;2025-06-01 09:00;F10,F11,F12;11
